"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","918","Login using no username and click on login","firefox","Thu Mar 20 02:44:55 UTC 2025","passed","Thu Mar 20 02:44:56 UTC 2025","Invalid login tests","login/login.spec.js","",""
"","745","Login using no password and click on login","Google Chrome","Thu Mar 20 02:45:22 UTC 2025","passed","Thu Mar 20 02:45:23 UTC 2025","Invalid login tests","login/login.spec.js","",""
"","941","Login using no password and click on login","firefox","Thu Mar 20 02:44:56 UTC 2025","passed","Thu Mar 20 02:44:57 UTC 2025","Invalid login tests","login/login.spec.js","",""
"","992","Login using valid username and password","Google Chrome","Thu Mar 20 02:45:18 UTC 2025","passed","Thu Mar 20 02:45:19 UTC 2025","Valid login tests","login/login.spec.js","",""
"","919","Login using invalid username and invalid password","firefox","Thu Mar 20 02:44:53 UTC 2025","passed","Thu Mar 20 02:44:54 UTC 2025","Invalid login tests","login/login.spec.js","",""
"","745","Login using valid username and invalid password","Google Chrome","Thu Mar 20 02:45:19 UTC 2025","passed","Thu Mar 20 02:45:20 UTC 2025","Invalid login tests","login/login.spec.js","",""
"","8113","Contact Add test","Google Chrome","Thu Mar 20 02:44:58 UTC 2025","passed","Thu Mar 20 02:45:06 UTC 2025","Contact testcases","contact/contact.spec.js","",""
"","7147","Contact Edit test","firefox","Thu Mar 20 02:44:42 UTC 2025","passed","Thu Mar 20 02:44:49 UTC 2025","Contact testcases","contact/contact.spec.js","",""
"","710","Login using invalid username and invalid password","Google Chrome","Thu Mar 20 02:45:20 UTC 2025","passed","Thu Mar 20 02:45:21 UTC 2025","Invalid login tests","login/login.spec.js","",""
"","733","Login using no username and click on login","Google Chrome","Thu Mar 20 02:45:22 UTC 2025","passed","Thu Mar 20 02:45:22 UTC 2025","Invalid login tests","login/login.spec.js","",""
"","7660","Contact Add test","firefox","Thu Mar 20 02:44:34 UTC 2025","passed","Thu Mar 20 02:44:42 UTC 2025","Contact testcases","contact/contact.spec.js","",""
"","6540","Contact Edit test","Google Chrome","Thu Mar 20 02:45:11 UTC 2025","passed","Thu Mar 20 02:45:18 UTC 2025","Contact testcases","contact/contact.spec.js","",""
"","728","Login using invalid username and valid password","Google Chrome","Thu Mar 20 02:45:19 UTC 2025","passed","Thu Mar 20 02:45:19 UTC 2025","Invalid login tests","login/login.spec.js","",""
"","1230","Login using valid username and password","firefox","Thu Mar 20 02:44:50 UTC 2025","passed","Thu Mar 20 02:44:51 UTC 2025","Valid login tests","login/login.spec.js","",""
"","934","Login using valid username and invalid password","firefox","Thu Mar 20 02:44:52 UTC 2025","passed","Thu Mar 20 02:44:53 UTC 2025","Invalid login tests","login/login.spec.js","",""
"","936","Login using invalid username and valid password","firefox","Thu Mar 20 02:44:51 UTC 2025","passed","Thu Mar 20 02:44:52 UTC 2025","Invalid login tests","login/login.spec.js","",""
"","724","Login using no username and no password and click login","Google Chrome","Thu Mar 20 02:45:21 UTC 2025","passed","Thu Mar 20 02:45:22 UTC 2025","Invalid login tests","login/login.spec.js","",""
"","955","Login using no username and no password and click login","firefox","Thu Mar 20 02:44:54 UTC 2025","passed","Thu Mar 20 02:44:55 UTC 2025","Invalid login tests","login/login.spec.js","",""
